"";"tax_label";"filter_type";"mean_pct_before_backwash";"mean_pct_after_backwash";"stdev_before_backwash";"stdev_after_backwash";"n_samples_before_backwash";"n_samples_after_backwash"
"54";"Planctomycetacia__Pirellulales__Pirellulaceae__Pir4 lineage";"BODAC_2";1,484;1,745;0,516;0,979;5;5
"55";"Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured";"BODAC_2";1,185;1,686;0,183;0,834;2;4
"56";"Anaerolineae__Caldilineales__Caldilineaceae__uncultured";"BODAC_1";1,673;1,672;;0,454;1;2
"57";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosospira";"BODAC_1";;1,626;;0,373;;6
"58";"Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Elev-16S-1166";"BODAC_1";1,184;1,594;;0,42;1;5
"59";"Gammaproteobacteria__Gammaproteobacteria Incertae Sedis__Unknown Family__Acidibacter";"BODAC_1";1,515;1,406;0,418;0,258;4;7
"60";"Planctomycetacia__Pirellulales__Pirellulaceae__Pir4 lineage";"BODAC_1";1,024;1,481;;0,29;1;3
"61";"Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__NA";"BODAC_2";1,48;1,307;0,146;;5;1
"62";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067";"BODAC_1";1,474;;;;1;
"63";"Bacteroidia__Chitinophagales__Chitinophagaceae__Ferruginibacter";"BODAC_2";1,287;1,472;0,122;0,685;4;3
"64";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Ellin6067";"BODAC_2";1,302;1,149;0,303;0,122;4;5
"65";"Planctomycetacia__Gemmatales__Gemmataceae__uncultured";"BODAC_1";1,024;1,265;;0,263;1;3
"66";"Planctomycetacia__Planctomycetales__uncultured__metagenome";"BODAC_1";;1,199;;;;1
"67";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__MND1";"BODAC_1";;1,169;;;;1
"68";"Planctomycetacia__Planctomycetales__Schlesneriaceae__Planctopirus";"BODAC_1";;1,168;;;;1
"69";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";"BODAC_2";1,139;;;;1;
"70";"Gammaproteobacteria__Gammaproteobacteria Incertae Sedis__Unknown Family__Acidibacter";"BODAC_2";0,998;1,124;0,006;;2;1
"71";"Alphaproteobacteria__Rhizobiales__Ambiguous_taxa__Ambiguous_taxa";"BODAC_1";;1,008;;;;1
